"artist","album","uri"
"Rush","R40 Live","27ovahRi0J4DmaUO9gZbkp"
"Rush","Grace Under Pressure","20RfdO7fta9qlXEWTFSWuT"
"Queen","Greatest Hits II","1uG9cIT7IRuq9NqFvKFUsI"
"Rush","Presto","2DhyqYUQtUBdeT1YOe9o3R"
"Rush","Signals","0gAhBCBqahVbuOgROHwISD"
"Rush","Different Stages","2IU7hoPkkFzjICIpkHgBB1"
"Yes","90125","6nNlTIiFd3J06W0rJiiwlz"
"Led Zeppelin","Celebration Day","0kTe1sQd9yhDsdG2Zth7X6"
"Geddy Lee","My Favorite Headache","6P0msHMvzQXuhQiFNTFCRJ"
"Victor","Victor","1HP7hZBF7hXvTVO4B4ZxgO"
"Rush","Caress Of Steel","3U3iBmoTag1wxENqHq2ZqF"
"Black Sabbath","13","5WXL9YjbNd4GIqWc9mZOOq"
"Rush","A Farewell To Kings","18i33u5FvfvgHjZMulpyO2"
"Rush","Roll the Bones","2myflcR6pL3Eo0vJFkyHbU"
"Led Zeppelin","Mothership","4wExFfncaUIqSgoxnqa3Eh"
"Rush","Feedback","0mT6ezOOTIUucAF9csghFE"
"Rush","Test for Echo","5fwkYtHrckROAs4ALRJ2Cz"
"Queen","The Miracle","3h6SV9wHJtNL1YswZUJs8V"
"Rush","Counterparts","6JNHWbFco4bnRP5ybKGriN"
"Rush","Clockwork Angels Tour","07JFksBGuJKPcJTS6HCVNO"
"Yes","Fragile","0dZF93WHyOhTWjz5EWM7yG"
"Queen","Greatest Hits","3VWrUk4vBznMYXGMPc7dRB"
"Rush","Vapor Trails","3uDtOe1tP8FovqfD56shua"
"Sleeping At Last","Atlas: Enneagram","1R3C4VebWmWXFlbTSnnLql"
"Rush","Hold Your Fire","3OSQvwW2BElGZfjhsHJEru"
"Rush","Snakes & Arrows Live","2KoWjbIToq3TT7vaOg7S4y"
"Queen","Live At Wembley Stadium","0pipZo4jBQ2hA4HphdFccg"
"Rush","Clockwork Angels","744i0LypfMwHHrKhzsqAx0"
"Rush","Power Windows","4g5nPCL3oFaJB0402Kedm8"
"Rush","R30","1893qyEhY5pbe9Pp5q7WJY"
"Rush","Hemispheres","2vrM9ltjKIvNg3nkwXoJuc"
"Rush","All The World's A Stage","6nch6yenaGbktm4Ldbpa4U"
"Queen","Greatest Hits III","2BY5L3fpnj4pEduW3T1qN7"
"Rush","2112","5g5aKkI0ExfU4kDvADP6JK"
"Rush","Fly By Night","3ZtICWkqezf0bBTUwY1Khe"
"Queen","Innuendo","5kffKW0sSLo6tkLg1veUGC"
"Rush","Rush in Rio","1iG0R0t4IK55xjpjuizNda"
"Queen","Queen Rock Montreal","70pjSyIDOZ5G5blR6aNXkQ"
"Rush","Snakes & Arrows","7hgcHQbB7xYr75qPPulfro"
"Blue Öyster Cult","The Symbol Remains","0kyBsDAOQHImwKLy8W5OEr"
"Rush","Grace Under Pressure Tour Live","1HRYPs1MJHC66SbTbEDZvH"
"Rush","Time Machine 2011: Live In Cleveland","1xL8HtoEpndXhfuawAVGDo"
